POI,Participants,Money,Date,Country,lat,lng
Bank,4,"$83,014.17",10/13/2019,Portugal,38.6037983,-9.1672878
Bank,22,"$30,056.53",1/18/2019,France,48.250574,-1.5029858
Bank,11,"$34,221.29",5/30/2019,France,49.2937975,3.7636128
Bank,18,"$29,597.62",5/21/2019,Vietnam,9.5713437,105.4495395
Bar,8,"$21,162.33",10/30/2019,Honduras,13.1680197,-87.3872748
Grocery Store,21,"$55,304.65",11/8/2019,Austria,48.4508261,14.0838042
Grocery Store,7,"$69,717.34",9/30/2019,Philippines,6.4791846,124.6644348
Gas Station,12,"$4,678.73",6/6/2019,Indonesia,-7.4619612,107.8968943
Bank,7,"$12,747.38",12/13/2019,United States,32.9901414,-96.8027198
Bank,16,"$93,970.40",7/19/2019,Philippines,16.959,120.7469
Bar,4,"$59,355.78",9/21/2019,Nigeria,13.1353074,10.0499523
Grocery Store,16,"$71,261.22",3/15/2019,United States,38.7470186,-90.2526163
Grocery Store,24,"$28,780.28",11/2/2019,China,22.940196,113.943916
Bar,20,"$38,909.90",6/6/2019,Philippines,7.3832138,122.804355
Grocery Store,25,"$44,574.45",4/23/2019,East Timor,-8.613782,125.2052299
Bar,25,"$17,259.49",1/4/2019,Czech Republic,49.9940366,14.859224
Bar,27,"$36,995.58",7/24/2019,Indonesia,-7.2634241,109.399141
Grocery Store,20,"$27,097.83",12/1/2019,Portugal,39.7191273,-8.852352
Grocery Store,6,"$74,846.16",10/28/2019,Czech Republic,50.5372159,15.2311161
Bar,22,"$21,308.32",12/15/2019,Indonesia,-7.2635671,112.7345789
Bank,14,"$27,399.03",6/30/2019,United States,37.9416306,-77.3484049
Bar,29,"$87,544.76",9/24/2019,China,31.686188,104.969819
Gas Station,6,"$46,590.99",11/7/2019,China,24.3653152,109.5235215
Bank,14,"$8,325.78",8/17/2019,Indonesia,-9.6239,124.0019
Bar,2,"$37,128.91",1/27/2019,Bolivia,-16.20274,-68.693687
Gas Station,24,"$12,775.38",2/13/2019,Philippines,7.897581,123.768678
Gas Station,30,"$61,921.60",11/18/2019,Indonesia,-8.7367925,116.4872482
Bar,29,"$9,084.59",4/18/2019,Czech Republic,49.374032,15.7019393
Gas Station,12,"$46,514.70",9/18/2019,Belarus,53.6091856,31.9594674
Bar,14,"$41,443.19",10/14/2019,Poland,49.9521852,18.4800457
Bar,15,"$12,811.21",7/6/2019,Poland,49.7549498,21.8253619
Gas Station,26,"$65,885.94",3/8/2019,Poland,53.175543,21.296838
Gas Station,1,"$20,257.41",11/14/2019,Madagascar,-18.9549753,49.1082407
Gas Station,6,"$6,634.02",7/19/2019,Philippines,9.2901323,123.247589
Grocery Store,19,"$23,905.03",10/7/2019,Lithuania,55.8884553,21.2431408
Bank,9,"$33,956.09",3/23/2019,China,34.534829,109.088297
Bar,17,"$94,764.80",7/28/2019,Syria,36.0558208,40.731064
Grocery Store,12,"$23,627.84",2/18/2019,China,26.681361,107.768069
Grocery Store,8,"$38,825.12",4/7/2019,Greece,37.6351721,22.7288576
